Category,Price_Unit,Weight_Unit,Original_Demand,Optimized_Qty,Status
cama_mesa_banho,93.2816264409222,2107.928584293948,11104,11104.0,Full Demand Met
beleza_saude,130.18996275990483,1048.7815247750077,9667,9667.0,Full Demand Met
esporte_lazer,114.34428538363616,1743.06156694827,8641,8641.0,Full Demand Met
moveis_decoracao,87.56449364050876,2653.128869690425,8334,8334.0,Full Demand Met
informatica_acessorios,116.51390315574294,902.5091350453558,7827,7827.0,Full Demand Met
relogios_presentes,201.13598397596397,580.9766316140878,5991,5991.0,Full Demand Met
telefonia,71.21397799779977,261.6222222222222,4545,4545.0,Full Demand Met
ferramentas_jardim,111.63019553715206,2824.0848861283644,4347,4347.0,Full Demand Met
automotivo,139.9575230224321,2594.1482880755607,4235,4235.0,Full Demand Met
brinquedos,117.54836045664318,1857.3684721884867,4117,4117.0,Full Demand Met
cool_stuff,167.357968914647,2548.9712855637517,3796,3796.0,Full Demand Met
perfumaria,116.73731207955542,480.1263527347177,3419,3419.0,Full Demand Met
bebes,133.7568178851175,3273.4050261096604,3064,3064.0,Full Demand Met
eletronicos,57.913530899891576,780.7940007228045,2767,2767.0,Full Demand Met
papelaria,91.75336909018674,2751.5148986889158,2517,2517.0,Full Demand Met
fashion_bolsas_e_acessorios,75.24546528803546,381.3087149187592,2031,2031.0,Full Demand Met
pet_shop,110.0746841294299,2924.540318438624,1947,1947.0,Full Demand Met
consoles_games,138.49183817062445,450.22251539138085,1137,1137.0,Full Demand Met
construcao_ferramentas_construcao,155.7347578040904,3119.390742734123,929,929.0,Full Demand Met
eletrodomesticos,103.9838261997406,1933.607003891051,771,771.0,Full Demand Met
instrumentos_musicais,281.616,3095.845588235294,680,680.0,Full Demand Met
eletroportateis,280.7784683357879,2992.19587628866,679,679.0,Full Demand Met
casa_construcao,137.56311258278146,3051.471854304636,604,604.0,Full Demand Met
livros_interesse_geral,84.73215189873417,760.5244122965642,553,553.0,Full Demand Met
alimentos,57.63413725490196,658.1156862745098,510,510.0,Full Demand Met
casa_conforto,134.95861751152074,3114.400921658986,434,434.0,Full Demand Met
bebidas,59.178627968337736,1052.3482849604222,379,379.0,Full Demand Met
audio,139.25412087912088,1218.423076923077,364,364.0,Full Demand Met
market_place,91.2490996784566,1119.331189710611,311,311.0,Full Demand Met
construcao_ferramentas_iluminacao,135.1315789473684,3370.6085526315787,304,304.0,Full Demand Met
climatizacao,185.2692255892256,4118.016835016835,297,297.0,Full Demand Met
alimentos_bebidas,54.602446043165465,1104.6546762589928,278,278.0,Full Demand Met
livros_tecnicos,71.52082397003745,1014.4606741573034,267,267.0,Full Demand Met
telefonia_fixa,225.6931818181818,565.344696969697,264,264.0,Full Demand Met
fashion_calcados,89.93423664122137,1041.2213740458014,262,262.0,Full Demand Met
construcao_ferramentas_jardim,108.04995798319328,2305.5336134453783,238,238.0,Full Demand Met
eletrodomesticos_2,476.1249579831933,8957.57142857143,238,238.0,Full Demand Met
agro_industria_e_comercio,342.12485849056606,3625.1132075471696,212,212.0,Full Demand Met
artes,115.8021052631579,1557.5454545454545,209,209.0,Full Demand Met
pcs,1098.3405418719212,7216.79802955665,203,203.0,Full Demand Met
construcao_ferramentas_seguranca,208.9923711340206,798.639175257732,194,194.0,Full Demand Met
artigos_de_natal,57.52169934640523,1893.7124183006536,153,153.0,Full Demand Met
fashion_roupa_masculina,81.80166666666666,579.7348484848485,132,132.0,Full Demand Met
fashion_underwear_e_moda_praia,72.83625954198473,276.14503816793894,131,131.0,Full Demand Met
construcao_ferramentas_ferramentas,154.40728155339806,1161.766990291262,103,103.0,Full Demand Met
tablets_impressao_imagem,90.70373493975904,307.09638554216866,83,83.0,Full Demand Met
portateis_casa_forno_e_cafe,624.2856578947368,5074.894736842105,76,76.0,Full Demand Met
cine_foto,96.29805555555556,1160.861111111111,72,72.0,Full Demand Met
utilidades_domesticas,90.78814761631249,3214.587880528432,6964,71.0,Prioritized (Partial)
dvds_blu_ray,93.74046875,487.734375,64,64.0,Full Demand Met
livros_importados,77.33083333333335,625.8333333333334,60,60.0,Full Demand Met
fashion_roupa_feminina,58.40916666666666,553.125,48,48.0,Full Demand Met
artigos_de_festas,104.306511627907,1997.6744186046512,43,43.0,Full Demand Met
fraldas_higiene,40.19461538461538,665.3846153846154,39,39.0,Full Demand Met
musica,158.79868421052632,1688.1052631578948,38,38.0,Full Demand Met
casa_conforto_2,25.34233333333333,827.9333333333333,30,30.0,Full Demand Met
fashion_esporte,70.65033333333334,340.0,30,30.0,Full Demand Met
artes_e_artesanato,75.58375,1369.875,24,24.0,Full Demand Met
portateis_cozinha_e_preparadores_de_alimentos,264.5686666666667,2838.333333333333,15,15.0,Full Demand Met
la_cuisine,146.785,3685.714285714286,14,14.0,Full Demand Met
cds_dvds_musicais,52.142857142857146,550.0,14,14.0,Full Demand Met
pc_gamer,171.77222222222224,1882.7777777777776,9,9.0,Full Demand Met
fashion_roupa_infanto_juvenil,71.23125,265.0,8,8.0,Full Demand Met
sinalizacao_e_seguranca,108.08658291457286,3886.723618090453,199,3.0,Prioritized (Partial)
seguros_e_servicos,141.64499999999998,812.5,2,2.0,Full Demand Met
moveis_quarto,183.75027522935775,9989.22018348624,109,0.0,Deprioritized (Cut)
moveis_escritorio,162.0110585452395,11390.454169130691,1691,0.0,Deprioritized (Cut)
moveis_cozinha_area_de_servico_jantar_e_jardim,164.8696441281139,8852.850533807828,281,0.0,Deprioritized (Cut)
moveis_colchao_e_estofado,114.94947368421052,7557.894736842105,38,0.0,Deprioritized (Cut)
malas_acessorios,128.5988827838828,5774.545787545788,1092,0.0,Deprioritized (Cut)
flores,33.63757575757575,1834.8484848484848,33,0.0,Deprioritized (Cut)
industria_comercio_e_negocios,148.0209328358209,6663.6529850746265,268,0.0,Deprioritized (Cut)
moveis_sala,137.0110536779324,8092.532803180915,503,0.0,Deprioritized (Cut)
